Theta [deg],dB(GainTotal) []
-180,0.91354587
-179,0.78898755
-178,0.656924289
-177,0.517261735
-176,0.369909058
-175,0.214779965
-174,0.051793991
-173,-0.119121885
-172,-0.298031233
-171,-0.484985676
-170,-0.680021833
-169,-0.883157561
-168,-1.094387372
-167,-1.313676862
-166,-1.540955952
-165,-1.776110747
-164,-2.018973744
-163,-2.269312142
-162,-2.526813952
-161,-2.791071643
-160,-3.061563049
-159,-3.337629368
-158,-3.618450205
-157,-3.903015855
-156,-4.190097381
-155,-4.478215611
-154,-4.765610895
-153,-5.050216475
-152,-5.329639459
-151,-5.601154703
-150,-5.861717967
-149,-6.108005387
-148,-6.336485803
-147,-6.543530421
-146,-6.725560106
-145,-6.879224289
-144,-7.00159787
-143,-7.090375262
-142,-7.144036257
-141,-7.161958838
-140,-7.144460562
-139,-7.092761471
-138,-7.008874864
-137,-6.895443843
-136,-6.755548279
-135,-6.592507664
-134,-6.409701035
-133,-6.210418015
-132,-5.997747369
-131,-5.774503075
-130,-5.543183617
-129,-5.305957991
-128,-5.06467142
-127,-4.820864318
-126,-4.575799159
-125,-4.330491179
-124,-4.085739994
-123,-3.84216024
-122,-3.600210077
-121,-3.360216956
-120,-3.122400452
-119,-2.886892156
-118,-2.653752826
-117,-2.422987013
-116,-2.194555455
-115,-1.968385504
-114,-1.744379853
-113,-1.522423787
-112,-1.302391193
-111,-1.084149493
-110,-0.867563658
-109,-0.652499465
-108,-0.438826077
-107,-0.226418075
-106,-0.015157014
-105,0.19506743
-104,0.404356646
-103,0.612802566
-102,0.82048738
-101,1.027483455
-100,1.233853415
-99,1.439650361
-98,1.644918191
-97,1.849692006
-96,2.053998582
-95,2.257856882
-94,2.461278594
-93,2.664268692
-92,2.866825996
-91,3.06894372
-90,3.270610018
-89,3.471808502
-88,3.672518731
-87,3.872716685
-86,4.072375189
-85,4.271464324
-84,4.469951782
-83,4.667803208
-82,4.864982496
-81,5.061452055
-80,5.257173048
-79,5.452105596
-78,5.646208961
-77,5.839441696
-76,6.031761782
-75,6.223126734
-74,6.413493693
-73,6.602819502
-72,6.791060768
-71,6.978173903
-70,7.164115166
-69,7.348840687
-68,7.532306484
-67,7.71446848
-66,7.895282506
-65,8.074704304
-64,8.252689533
-63,8.429193758
-62,8.604172456
-61,8.777581009
-60,8.949374699
-59,9.119508708
-58,9.287938119
-57,9.454617911
-56,9.619502966
-55,9.782548073
-54,9.943707934
-53,10.10293717
-52,10.26019035
-51,10.41542197
-50,10.56858652
-49,10.71963845
-48,10.86853226
-47,11.01522244
-46,11.15966359
-45,11.30181038
-44,11.4416176
-43,11.57904023
-42,11.71403344
-41,11.84655264
-40,11.9765535
-39,12.10399204
-38,12.22882463
-37,12.35100805
-36,12.47049952
-35,12.58725676
-34,12.70123805
-33,12.81240222
-32,12.92070876
-31,13.02611782
-30,13.12859027
-29,13.22808774
-28,13.32457268
-27,13.41800837
-26,13.50835897
-25,13.59558958
-24,13.67966625
-23,13.76055604
-22,13.83822705
-21,13.91264841
-20,13.98379038
-19,14.05162433
-18,14.11612279
-17,14.17725945
-16,14.23500923
-15,14.28934823
-14,14.34025383
-13,14.38770465
-12,14.43168057
-11,14.47216277
-10,14.50913371
-9,14.54257717
-8,14.57247823
-7,14.59882329
-6,14.62160006
-5,14.64079757
-4,14.65640616
-3,14.66841751
-2,14.67682459
-1,14.68162168
0,14.68280435
1,14.68036947
2,14.67431518
3,14.66464091
4,14.65134731
5,14.63443631
6,14.61391104
7,14.58977587
8,14.56203634
9,14.53069922
10,14.4957724
11,14.45726495
12,14.41518707
13,14.36955009
14,14.32036642
15,14.26764959
16,14.21141417
17,14.15167582
18,14.08845122
19,14.02175809
20,13.95161516
21,13.87804217
22,13.80105986
23,13.72068993
24,13.63695508
25,13.54987895
26,13.45948615
27,13.36580223
28,13.2688537
29,13.16866801
30,13.06527354
31,12.95869962
32,12.8489765
33,12.73613542
34,12.62020852
35,12.50122891
36,12.37923069
37,12.25424889
38,12.12631956
39,11.99547973
40,11.86176748
41,11.7252219
42,11.58588316
43,11.44379253
44,11.29899238
45,11.15152625
46,11.00143887
47,10.84877623
48,10.69358556
49,10.53591547
50,10.37581593
51,10.21333838
52,10.04853578
53,9.881462705
54,9.712175384
55,9.540731836
56,9.367191944
57,9.191617567
58,9.014072653
59,8.834623368
60,8.653338226
61,8.470288241
62,8.285547086
63,8.099191259
64,7.911300272
65,7.72195685
66,7.531247142
67,7.339260955
68,7.146091994
69,6.951838131
70,6.75660168
71,6.560489701
72,6.363614309
73,6.166093015
74,5.968049073
75,5.769611851
76,5.570917216
77,5.372107928
78,5.173334053
79,4.974753382
80,4.776531846
81,4.578843943
82,4.381873143
83,4.185812293
84,3.990863978
85,3.797240863
86,3.605165975
87,3.414872924
88,3.226606044
89,3.040620433
90,2.857181874
91,2.676566612
92,2.499060967
93,2.32496076
94,2.154570516
95,1.988202441
96,1.826175136
97,1.668812029
98,1.516439526
99,1.369384859
100,1.227973633
101,1.092527094
102,0.963359119
103,0.840772979
104,0.725057905
105,0.616485522
106,0.515306221
107,0.421745544
108,0.336000673
109,0.258237116
110,0.188585686
111,0.127139862
112,0.073953618
113,0.029039796
114,-0.00763093
115,-0.036130449
116,-0.056572958
117,-0.069114066
118,-0.073949276
119,-0.071311903
120,-0.061470487
121,-0.044725784
122,-0.021407427
123,0.008129657
124,0.043508961
125,0.084336179
126,0.130202936
127,0.180690424
128,0.235372852
129,0.29382068
130,0.355603587
131,0.420293148
132,0.487465206
133,0.55670194
134,0.627593617
135,0.69974006
136,0.77275183
137,0.846251148
138,0.919872587
139,0.993263545
140,1.066084534
141,1.138009303
142,1.20872482
143,1.277931136
144,1.345341146
145,1.410680274
146,1.473686091
147,1.534107878
148,1.591706157
149,1.646252191
150,1.69752747
151,1.745323179
152,1.789439669
153,1.82968593
154,1.86587906
155,1.897843754
156,1.925411803
157,1.948421597
158,1.966717655
159,1.98015017
160,1.988574558
161,1.991851045
162,1.989844257
163,1.982422829
164,1.969459044
165,1.950828476
166,1.926409659
167,1.896083778
168,1.859734372
169,1.817247064
170,1.768509308
171,1.713410168
172,1.651840109
173,1.583690833
174,1.508855138
175,1.427226815
176,1.338700596
177,1.243172149
178,1.140538132
179,1.03069633
180,0.91354587
